customer_id,age,visits_per_month,avg_ticket,burgers,pizza,tacos,drinks,desserts,total_items,favorite_category
1357,28,7,801.54,2,4,6,5,0,17,tacos
4095,19,5,672.65,5,1,6,3,0,15,tacos
3618,50,10,608.03,3,3,1,3,1,11,burgers
2755,53,13,976.96,5,4,6,3,0,18,tacos
2732,58,5,748.61,0,1,6,12,3,22,drinks
4434,67,15,443.12,0,0,8,3,2,13,tacos
1343,43,13,735.44,2,2,6,8,1,19,drinks
3789,61,4,399.22,1,0,3,4,2,10,drinks
1805,55,18,994.9,3,6,3,8,0,20,drinks
1376,32,1,418.19,0,2,2,5,1,10,drinks
3105,61,13,466.72,0,4,0,4,0,8,pizza
4902,20,9,849.86,1,5,8,2,1,17,tacos
3943,49,13,432.44,3,0,6,1,0,10,tacos
4044,66,15,531.94,0,2,7,3,0,12,tacos
3869,52,14,632.33,2,1,5,7,1,16,drinks
4144,66,13,585.01,3,1,3,6,1,14,drinks
3052,20,16,601.97,1,3,4,3,1,12,tacos
1512,45,14,479.81,0,3,4,3,0,10,tacos
4358,58,16,537.36,0,2,6,6,0,14,tacos
2801,51,8,705.91,3,4,3,1,1,12,pizza
3001,63,4,746.23,3,5,0,5,0,13,pizza
2483,42,5,578.35,4,1,4,1,1,11,burgers
1730,53,12,937.13,1,6,7,3,1,18,tacos
4707,39,11,841.26,1,5,7,4,1,18,tacos
4126,63,2,929.73,5,1,7,7,2,22,tacos
3575,24,4,840.73,1,5,3,6,2,17,drinks
2609,31,19,508.2,2,2,1,6,1,12,drinks
4291,23,14,364.83,0,2,2,2,1,7,pizza
3181,54,15,762.94,1,4,6,4,1,16,tacos
2773,30,4,721.39,2,2,5,7,2,18,drinks
2801,34,2,753.33,2,4,3,5,0,14,drinks
1908,61,6,687.35,3,3,3,1,3,13,burgers
1368,36,17,751.39,5,3,2,2,1,13,burgers
3218,25,10,741.36,5,3,2,1,2,13,burgers
4551,19,15,862.33,4,4,8,1,0,17,tacos
1255,29,10,622.41,4,1,4,2,2,13,burgers
4433,65,10,628.79,3,3,2,3,1,12,burgers
4310,46,12,743.12,3,4,2,4,1,14,pizza
2107,69,19,496.73,1,2,3,6,0,12,drinks
3526,29,9,623.12,1,4,5,3,0,13,tacos
1660,36,12,593.64,0,3,7,4,0,14,tacos
4032,26,18,516.81,2,2,4,1,0,9,tacos
3802,38,8,768.55,5,4,2,2,0,13,burgers
2418,47,16,398.8,0,0,4,6,2,12,drinks
1271,60,11,751.95,3,4,2,4,1,14,pizza
4882,37,17,639.99,0,4,1,5,2,12,drinks
2782,58,9,658.87,4,3,4,0,0,11,burgers
4572,50,12,496.97,0,3,4,1,2,10,tacos
3711,33,7,895.85,1,7,4,4,1,17,pizza
4113,65,13,796.29,2,5,4,5,0,16,pizza
4039,40,7,447.45,1,1,6,3,0,11,tacos
1778,25,12,401.37,2,0,6,3,0,11,tacos
2455,68,15,571.55,1,4,3,1,0,9,pizza
2866,65,9,738.13,5,2,2,7,0,16,drinks
2991,20,9,461.95,2,1,4,1,1,9,tacos
1175,64,7,772.18,3,3,3,4,3,16,drinks
3186,67,14,843.22,3,4,4,6,1,18,drinks
1617,61,12,795.49,6,2,3,3,2,16,burgers
3973,31,10,795.03,1,4,6,7,0,18,drinks
3732,50,1,685.49,3,3,3,4,0,13,drinks
4690,45,3,643.96,1,4,3,3,1,12,pizza
3979,50,1,785.89,2,6,1,2,2,13,pizza
2466,50,17,706.66,2,4,2,3,2,13,pizza
4870,51,17,846.44,1,5,2,8,2,18,drinks
2643,44,2,401.7,1,1,3,5,1,11,drinks
2303,53,1,640.78,3,2,5,4,0,14,tacos
4622,45,15,587.71,1,4,3,2,0,10,pizza
2481,18,10,622.6,2,0,6,8,1,17,drinks
1305,19,6,1106.38,3,5,3,10,3,24,drinks
2878,67,12,748.12,1,6,3,4,0,14,pizza
4182,65,5,862.59,4,3,2,10,1,20,drinks
1757,48,4,663.86,1,3,6,3,1,14,tacos
2851,27,7,937.18,2,3,6,10,3,24,drinks
1519,58,18,887.09,0,5,9,3,2,19,tacos
3745,25,15,940.28,2,6,5,6,0,19,pizza
2902,37,4,748.73,2,3,7,2,2,16,tacos
2320,35,11,592.63,2,3,3,3,1,12,pizza
1907,18,17,652.0,2,2,5,5,1,15,tacos
3257,59,19,571.49,2,3,3,0,2,10,pizza
3679,44,15,780.43,5,3,0,3,2,13,burgers
4761,34,3,645.89,3,1,6,5,1,16,tacos
2748,44,5,882.08,4,2,7,7,0,20,tacos
1642,18,5,420.14,0,1,3,6,1,11,drinks
4330,40,3,771.08,2,4,4,5,1,16,drinks
3519,45,4,751.18,2,3,5,5,2,17,tacos
3801,35,7,631.26,1,3,4,5,1,14,drinks
1388,61,11,811.23,4,2,3,8,2,19,drinks
2249,30,8,510.09,0,2,4,4,2,12,tacos
4071,25,8,665.14,0,4,2,8,1,15,drinks
4329,45,5,796.43,3,3,4,7,0,17,drinks
2740,64,3,799.63,2,4,3,5,2,16,drinks
4219,37,19,599.91,2,1,8,2,1,14,tacos
4366,20,12,393.68,1,1,1,6,0,9,drinks
2549,68,5,476.49,4,0,4,3,0,11,burgers
4592,41,16,455.25,2,0,4,6,1,13,drinks
2153,26,16,692.95,3,3,2,3,2,13,burgers
1958,50,19,995.37,2,8,2,5,0,17,pizza
3729,34,4,457.19,2,3,0,2,0,7,pizza
3547,66,13,582.4,1,2,5,3,1,12,tacos
1559,33,19,787.03,4,2,4,5,2,17,drinks
4330,46,16,534.46,0,3,4,1,3,11,tacos
1799,46,5,700.7,2,1,5,7,3,18,drinks
4219,30,17,674.39,2,2,7,5,0,16,tacos
1029,43,9,690.93,4,3,2,3,1,13,burgers
4187,23,10,620.84,1,1,4,7,3,16,drinks
4147,51,11,957.33,3,6,4,6,0,19,pizza
4121,57,15,663.9,3,2,2,6,2,15,drinks
3659,67,3,578.97,0,3,4,7,0,14,drinks
2886,34,11,566.76,3,2,2,5,0,12,drinks
3820,32,16,827.36,4,4,3,5,0,16,drinks
2108,46,11,270.05,0,1,1,5,0,7,drinks
4122,54,6,598.02,1,3,2,4,2,12,drinks
3222,69,2,766.7,2,3,4,6,2,17,drinks
2835,19,11,545.67,2,3,2,4,1,12,drinks
3022,30,14,936.73,3,3,5,10,1,22,drinks
3274,31,11,869.98,2,5,5,4,1,17,pizza
1149,31,19,931.47,3,3,4,9,3,22,drinks
1559,42,12,473.42,0,3,2,4,1,10,drinks
1981,63,10,838.9,3,3,3,9,1,19,drinks
1458,19,2,497.36,1,1,9,2,0,13,tacos
2758,60,11,576.36,1,2,5,5,1,14,tacos
3673,50,4,634.0,0,4,3,4,2,13,pizza
3617,49,14,792.31,1,6,4,2,1,14,pizza
2884,53,4,774.81,1,3,8,6,1,19,tacos
4420,24,18,766.79,4,5,2,2,0,13,pizza
3260,56,6,603.43,0,3,1,11,0,15,drinks
1316,30,9,968.53,2,5,7,5,2,21,tacos
4059,44,3,771.97,1,5,3,7,0,16,drinks
3298,53,5,535.13,2,2,3,5,0,12,drinks
3538,49,18,689.59,2,1,6,4,4,17,tacos
3261,34,6,706.42,1,5,5,2,0,13,pizza
3214,38,10,686.56,2,1,9,7,0,19,tacos
1362,42,19,702.77,2,3,2,6,2,15,drinks
3236,20,12,712.59,4,2,4,5,0,15,drinks
4179,55,1,756.11,3,4,2,4,1,14,pizza
2215,23,7,301.22,2,0,2,2,0,6,burgers
3411,41,8,589.58,4,1,4,3,0,12,burgers
1123,52,6,500.98,3,1,2,4,1,11,drinks
2389,22,5,762.44,3,3,2,8,0,16,drinks
2746,69,10,667.03,1,3,6,1,3,14,tacos
4930,37,8,424.15,0,3,1,2,2,8,pizza
1858,18,6,624.37,2,3,2,6,0,13,drinks
2106,52,8,551.27,0,2,5,4,2,13,tacos
2634,46,7,894.33,1,6,3,7,0,17,drinks
4970,51,5,462.14,1,1,3,5,1,11,drinks
4413,57,9,650.67,1,3,5,5,0,14,tacos
1138,42,18,585.18,1,2,5,4,1,13,tacos
1935,60,10,808.44,2,4,5,4,2,17,tacos
4286,37,12,1015.64,3,5,4,7,2,21,drinks
1233,46,19,662.61,3,2,4,5,1,15,drinks
4422,26,12,472.17,1,2,2,4,1,10,drinks
2125,50,5,636.38,3,3,3,3,0,12,burgers
4670,31,8,556.83,0,1,6,8,1,16,drinks
2174,54,10,722.73,1,5,3,2,1,12,pizza
2737,59,10,491.93,2,1,3,5,0,11,drinks
3647,62,3,675.22,1,4,1,7,1,14,drinks
1505,66,3,702.9,2,4,1,6,1,14,drinks
3228,24,7,609.37,0,5,2,3,0,10,pizza
3020,25,18,654.8,1,2,8,4,1,16,tacos
4135,66,14,631.58,1,3,6,3,0,13,tacos
4984,37,16,828.4,6,2,5,3,2,18,burgers
3657,19,4,955.74,4,7,1,3,0,15,pizza
2636,32,8,815.8,6,3,3,2,0,14,burgers
2625,61,12,650.81,1,5,3,3,0,12,pizza
2671,36,9,565.51,1,3,4,5,0,13,drinks
4256,21,8,446.36,1,2,3,3,1,10,tacos
2284,55,7,637.6,3,2,3,3,2,13,burgers
1667,28,1,436.43,0,4,1,2,0,7,pizza
2337,36,17,1308.03,5,8,4,6,1,24,pizza
1090,18,18,1084.45,4,7,3,5,0,19,pizza
1424,49,2,667.07,2,3,3,4,2,14,drinks
1360,41,8,850.61,2,6,3,4,0,15,pizza
4086,63,10,391.78,2,1,3,2,0,8,tacos
3889,35,15,774.78,1,4,7,7,0,19,tacos
3787,28,19,905.76,4,5,4,3,1,17,pizza
2847,26,8,875.45,2,4,3,5,4,18,drinks
3868,28,15,667.12,0,3,7,3,2,15,tacos
1645,41,18,546.99,3,0,6,5,1,15,tacos
4602,22,16,512.35,2,1,2,5,2,12,drinks
3004,38,6,541.98,3,1,5,5,0,14,tacos
4752,62,16,839.52,4,3,4,6,1,18,drinks
1609,57,8,907.01,6,3,3,3,2,17,burgers
2989,51,1,658.53,3,4,3,2,0,12,pizza
3785,64,15,594.77,3,3,1,3,1,11,burgers
2982,58,16,448.07,0,3,2,5,0,10,drinks
2784,51,7,568.58,1,3,0,7,1,12,drinks
1664,62,9,775.39,3,2,9,4,0,18,tacos
2524,24,7,888.16,3,2,4,9,3,21,drinks
1955,60,3,514.69,3,0,5,5,1,14,tacos
2206,33,19,654.19,1,4,4,1,2,12,pizza
3734,56,1,730.0,1,2,5,10,1,19,drinks
3521,65,11,860.86,2,4,8,5,0,19,tacos
3428,43,1,607.43,1,1,5,7,3,17,drinks
